title,popularity,release_decade,detailed_mood_tags,vocal_style,instrumentation_notes
Garden Song,38,2020s,wistful;tender;quietly aching,"soft, breathy close-mic'd near-whisper","fingerpicked acoustic guitar, hazy synth pads, brushed drums, layered harmony vocals"
Sunset Drive,34,2010s,hazy;yearning;nocturnal calm,"murmured, reverb-drenched male-female interplay","reverb-soaked guitar figures, subdued electronic drums, deep sub-bass, wide negative space"
Sunrise City,62,2020s,uplifting;bright-eyed;celebratory,"clear, belted pop vocal with stacked hooks","punchy programmed drums, plucky synths, four-on-the-floor chorus, sidechained bass"
Library Rain,26,2020s,cozy;drowsy;softly focused,"barely-there murmured vocal, heavily filtered","dusty Rhodes loop, vinyl crackle, rain field recording, swung boom-bap drums"
Storm Runner,41,2010s,driving;defiant;adrenalized,"gritty, full-throated rock belt","overdriven twin guitars, pounding live drums, anthemic gang-vocal chorus"
Ironclad,29,2010s,ferocious;steely;triumphant,harsh shouted vocals with clean-sung chorus,"downtuned palm-muted riffs, double-kick drums, dense low-end, breakdown section"
Coffee Shop Stories,31,2010s,warm;bittersweet;gently reminiscent,"conversational, lightly weathered storytelling delivery","acoustic guitar, upright bass, soft mandolin and pedal steel accents, room-mic'd warmth"
Pulse Reactor,58,2010s,ecstatic;cathartic;high-energy,"processed, soaring topline vocal with heavy vocoding","big-room synth lead, filtered risers, thumping kick, drop-focused arrangement"
Midnight Blue,24,2020s,smoky;solitary;languid,"low, smoky croon with loose phrasing","solo piano, brushed drums, upright bass, muted trumpet fills, live room ambience"
Quiet Reverie,18,2020s,hushed;meditative;luminous,"instrumental, no vocals","solo piano with sustained pedal, sparse string underlay, natural hall reverb"
Floating Room,15,2020s,weightless;hypnotic;serenely detached,"wordless, distant floating vocal textures","slow-evolving synth pads, granular drones, no percussion, long reverb tails"
Blueprint,47,2020s,assured;determined;swaggering,"steady, punchy mid-tempo rap flow","soul-sample loop, hard-hitting 808s, crisp hi-hats, sparse piano stabs"
Palm Shade,33,2010s,breezy;sun-warmed;unhurried,"laid-back, lilting lead with easy backing harmonies","offbeat skank guitar, round bassline, organ bubble, light percussion and horn stabs"
Dust and Highways,39,2010s,homesick;tender;road-worn,warm twangy vocal with slight rasp,"acoustic and pedal steel guitars, fiddle, steady snare backbeat, subtle organ pad"
Neon Rewind,36,2020s,retro-wistful;cinematic;cruising,"airy, chorus-drenched vocal sitting inside the mix","analog-style synth arpeggios, gated reverb drums, saw-lead melody, tape saturation"
Broken Glass,27,2010s,snarling;confrontational;restless,"shouted, snotty half-sung barks","buzzsaw power chords, breakneck drums, raw live-room production, shout-along chorus"
Slow Burn,45,2020s,sultry;yearning;velvety,"smooth, airy vocal with melismatic runs and stacked ad-libs","warm electric piano, muted guitar licks, deep rounded bass, finger-snap-style drums"
Rust and Rain,22,2010s,weary;desolate;aching,"gravelly, world-worn drawl","slide and resonator guitar, sparse shuffle drums, harmonica, dusty analog recording"
