genre,note
pop,"Broadly accessible, hook-driven production optimized for mass appeal; typically upbeat, polished, and emotionally direct."
indie pop,"Guitar- or synth-driven pop made outside major-label polish, with introspective and often confessional lyrics that prioritize emotional intimacy over sheen."
dream pop,"Hazy, reverb-heavy production with breathy, distant vocals; built around atmosphere and mood rather than sharp hooks, often evoking nostalgia or longing."
lofi,"Deliberately imperfect, low-fidelity production (tape hiss, mellow beats) closely associated with quiet focus, studying, and late-night calm."
rock,"Guitar-driven, high-energy instrumentation with a strong backbeat; historically associated with rebellion, catharsis, and raw emotional intensity."
metal,"Heavily distorted, downtuned guitars, aggressive tempos, and intense vocal delivery; frequently channels themes of resilience, defiance, or catharsis."
jazz,"Built on improvisation and complex harmony over a swung or syncopated rhythm; ranges from relaxed lounge settings to dense, virtuosic soloing."
classical,"Notated, composed music performed on acoustic instruments, spanning centuries of tradition; often prized for structural complexity and emotional range within a controlled form."
ambient,"Slow-moving, texture-focused music with minimal rhythmic emphasis, designed to color a space or mood rather than demand active attention."
hip hop,"Rhythmic, rhyme-driven vocal delivery over a beat-centered production; rooted in storytelling, wordplay, and cultural commentary."
reggae,"Off-beat guitar/keyboard accents over a laid-back, bass-heavy groove; historically tied to themes of community, resilience, and social consciousness."
country,"Storytelling-focused music built on acoustic and steel guitar, often centered on everyday life, place, and nostalgia."
folk,"Acoustic, storytelling-driven tradition rooted in oral history and community; frequently nostalgic, drawing on memory and place."
edm,"Electronic, beat-driven production built for movement and release, typically structured around a build-and-drop dynamic; often high-energy and euphoric."
synthwave,"Synthesizer-driven production that deliberately evokes 1980s film and video-game scores, blending nostalgia with a driving, retro-futuristic energy."
punk,"Fast, stripped-down, high-energy rock built on urgency and directness over technical polish; historically tied to defiance and anti-establishment themes."
r&b,"Vocal-centered, groove-driven music blending soul and pop sensibilities, typically emphasizing emotional expressiveness and romantic or personal themes."
blues,"Rooted in a 12-bar chord structure and call-and-response phrasing; expressive, often melancholic music built around hardship, longing, and catharsis."
